Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,joint_names,points
1705910011.3440595,1,0,0,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7']","[positions: [-0.5317076739700217, -0.6585154106993424, 0.6192665055927478, -2.153882187491969, -0.5146641299989488, 3.1714880935506407, 0.09028788535479175]
velocities: []
accelerations: []
effort: []
time_from_start: 
  secs: 0
  nsecs:         0, positions: [-0.5307275579418487, -0.6574072449284379, 0.6201832574739014, -2.1527686057438475, -0.5137296043565253, 3.1723899375278504, 0.091239764216509]
velocities: []
accelerations: []
effort: []
time_from_start: 
  secs: 5
  nsecs:         0]"
1705910016.3680365,2,0,0,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7']","[positions: [-0.5307910862705741, -0.6576601830032008, 0.62017868172306, -2.1530190165015988, -0.5138727842574257, 3.1723670373511905, 0.0911447875549887]
velocities: []
accelerations: []
effort: []
time_from_start: 
  secs: 0
  nsecs:         0, positions: [-0.3431681796298304, -0.5011085494572775, 0.5059986527226227, -1.853299418402455, -0.5142620479536945, 2.924404615975448, -0.044900605386847835]
velocities: []
accelerations: []
effort: []
time_from_start: 
  secs: 5
  nsecs:         0]"
1705910021.3910625,3,0,0,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7']","[positions: [-0.34374400604627153, -0.5016921691496012, 0.506457143303962, -1.8542926635496693, -0.5141420854992308, 2.9251541045195357, -0.04436563496435044]
velocities: []
accelerations: []
effort: []
time_from_start: 
  secs: 0
  nsecs:         0, positions: [0.21311699385724814, -0.399468513429768, -0.15532266948950613, -1.6214341536019903, -0.20625862521113655, 2.7944958836423215, -0.6514734108467353]
velocities: []
accelerations: []
effort: []
time_from_start: 
  secs: 5
  nsecs:         0]"
1705910026.4170916,4,0,0,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7']","[positions: [0.20942892809836627, -0.4003322883045699, -0.15114620069801593, -1.623205111755631, -0.20845747427968025, 2.7954985192945285, -0.6475065923054778]
velocities: []
accelerations: []
effort: []
time_from_start: 
  secs: 0
  nsecs:         0, positions: [0.5714993478704927, -0.5862594737311045, -0.6715472539836744, -1.8790789637489065, 0.0713344842601132, 2.9653848284266697, -1.2070793397724584]
velocities: []
accelerations: []
effort: []
time_from_start: 
  secs: 5
  nsecs:         0]"
1705910031.456595,5,0,0,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7']","[positions: [0.5670277104924234, -0.5839696611720355, -0.6652469718650281, -1.8759120970873608, 0.06760986710521473, 2.9632482429567175, -1.2001404308684167]
velocities: []
accelerations: []
effort: []
time_from_start: 
  secs: 0
  nsecs:         0, positions: [0.5964800471068913, -0.6976317959241395, -0.7216689014669904, -2.1814604168048164, 0.05625234243863158, 3.191994852393882, -1.2798769247599784]
velocities: []
accelerations: []
effort: []
time_from_start: 
  secs: 5
  nsecs:         0]"
1705910036.4829214,6,0,0,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7']","[positions: [0.5962451036667432, -0.6970150634574156, -0.7213810297033301, -2.1796412236476863, 0.05663371332230602, 3.1905713938558247, -1.2791506746011174]
velocities: []
accelerations: []
effort: []
time_from_start: 
  secs: 0
  nsecs:         0, positions: [-0.7400464184780495, -0.7822620973028878, 0.9050999230122685, -2.113919504300022, 0.8048673662738385, 3.135336655322108, -1.0026246170165696]
velocities: []
accelerations: []
effort: []
time_from_start: 
  secs: 5
  nsecs:         0]"
1705910041.4923856,7,0,0,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7']","[positions: [-0.7364300055655968, -0.7820400859808181, 0.9008857697258482, -2.1144008393364424, 0.8025658774637153, 3.1356466620882895, -1.003515289504543]
velocities: []
accelerations: []
effort: []
time_from_start: 
  secs: 0
  nsecs:         0, positions: [-0.53174, -0.65841, 0.61919, -2.1538, -0.51472, 3.1714, 0.090237]
velocities: []
accelerations: []
effort: []
time_from_start: 
  secs: 5
  nsecs:         0]"
