-0.53074,-0.65741,0.62019,-2.1528,-0.51372,3.1724,0.091237
-0.53071,-0.65739,0.62017,-2.1527,-0.51372,3.1724,0.091213
-0.53051,-0.65724,0.62004,-2.1525,-0.5137,3.1721,0.091053
-0.53001,-0.65688,0.61969,-2.1518,-0.51364,3.1715,0.090636
-0.52906,-0.65619,0.61905,-2.1506,-0.51352,3.1704,0.089858
-0.52758,-0.6551,0.61804,-2.1486,-0.51334,3.1687,0.088634
-0.52547,-0.65355,0.61661,-2.1458,-0.51308,3.1662,0.086895
-0.52268,-0.6515,0.61473,-2.1421,-0.51274,3.1628,0.084589
-0.51917,-0.6489,0.61236,-2.1374,-0.5123,3.1586,0.081682
-0.51491,-0.64573,0.60951,-2.1316,-0.51178,3.1535,0.078156
-0.50992,-0.642,0.60617,-2.1248,-0.51116,3.1474,0.074011
-0.50423,-0.63771,0.60238,-2.117,-0.51045,3.1405,0.069266
-0.49786,-0.63289,0.59817,-2.1081,-0.50965,3.1326,0.063954
-0.4909,-0.62756,0.59359,-2.0983,-0.50877,3.124,0.058127
-0.48344,-0.6218,0.58872,-2.0877,-0.50783,3.1146,0.051855
-0.47558,-0.61566,0.58364,-2.0763,-0.50683,3.1046,0.045223
-0.46745,-0.60923,0.57844,-2.0643,-0.50578,3.0941,0.038335
-0.45922,-0.60261,0.57325,-2.0519,-0.50471,3.0833,0.031313
-0.45105,-0.5959,0.56819,-2.0392,-0.50363,3.0723,0.024293
-0.44315,-0.58923,0.56341,-2.0264,-0.50257,3.0613,0.017432
-0.43573,-0.58275,0.55907,-2.0139,-0.50155,3.0507,0.010901
-0.4287,-0.57631,0.55515,-2.0012,-0.50055,3.04,0.0045945
-0.42239,-0.57023,0.55183,-1.9891,-0.49961,3.0299,-0.0011956
-0.41674,-0.56448,0.54904,-1.9774,-0.49873,3.0203,-0.006519
-0.41169,-0.55907,0.54672,-1.9662,-0.49787,3.0112,-0.011425
-0.40717,-0.55397,0.5448,-1.9555,-0.49704,3.0027,-0.015963
-0.40313,-0.54916,0.5432,-1.9453,-0.49621,2.9946,-0.020183
-0.39949,-0.54465,0.54187,-1.9356,-0.49538,2.9871,-0.024134
-0.39621,-0.54041,0.54073,-1.9264,-0.49453,2.98,-0.027865
-0.3932,-0.53642,0.53972,-1.9176,-0.49364,2.9734,-0.031427
-0.39043,-0.53268,0.53876,-1.9094,-0.49272,2.9672,-0.034867
-0.38781,-0.52918,0.53779,-1.9016,-0.49173,2.9614,-0.038237
-0.38529,-0.52589,0.53674,-1.8943,-0.49067,2.9561,-0.041585
-0.3828,-0.52281,0.53555,-1.8875,-0.48953,2.9513,-0.044961
-0.38029,-0.51991,0.53414,-1.8812,-0.48829,2.9468,-0.048414
-0.37769,-0.5172,0.53244,-1.8753,-0.48693,2.9427,-0.051993
-0.37493,-0.51465,0.5304,-1.8699,-0.48545,2.939,-0.055749
-0.37196,-0.51225,0.52793,-1.865,-0.48384,2.9357,-0.059731
-0.36872,-0.50999,0.52498,-1.8605,-0.48207,2.9327,-0.063987
-0.36513,-0.50785,0.52148,-1.8565,-0.48013,2.9301,-0.068569
-0.36127,-0.50587,0.51748,-1.8531,-0.47808,2.9278,-0.073376
-0.35705,-0.50399,0.51293,-1.8501,-0.47587,2.9259,-0.078516
-0.3525,-0.5022,0.50785,-1.8474,-0.47351,2.9242,-0.08397
-0.34763,-0.5005,0.50229,-1.8451,-0.47101,2.9229,-0.089717
-0.34246,-0.49889,0.49628,-1.8432,-0.46838,2.9217,-0.095736
-0.33703,-0.49734,0.48984,-1.8415,-0.46562,2.9208,-0.10201
-0.33134,-0.49587,0.48303,-1.8401,-0.46274,2.92,-0.10851
-0.32543,-0.49446,0.47586,-1.839,-0.45976,2.9195,-0.11522
-0.31931,-0.49311,0.46838,-1.8381,-0.45669,2.919,-0.12213
-0.31301,-0.49181,0.46062,-1.8373,-0.45352,2.9188,-0.1292
-0.30654,-0.49056,0.45261,-1.8367,-0.45028,2.9186,-0.13642
-0.29993,-0.48936,0.44439,-1.8363,-0.44697,2.9186,-0.14377
-0.29321,-0.48818,0.43599,-1.8359,-0.44359,2.9186,-0.15123
-0.28639,-0.48704,0.42745,-1.8356,-0.44017,2.9186,-0.15877
-0.2795,-0.48593,0.4188,-1.8354,-0.4367,2.9187,-0.16639
-0.27255,-0.48483,0.41007,-1.8352,-0.4332,2.9189,-0.17405
-0.26557,-0.48374,0.40131,-1.835,-0.42968,2.919,-0.18173
-0.25858,-0.48267,0.39254,-1.8347,-0.42613,2.9191,-0.18942
-0.2516,-0.48159,0.3838,-1.8343,-0.42259,2.9191,-0.1971
-0.24466,-0.48051,0.37513,-1.8339,-0.41904,2.9191,-0.20474
-0.23778,-0.47943,0.36655,-1.8333,-0.41551,2.919,-0.21232
-0.23097,-0.47832,0.3581,-1.8326,-0.41199,2.9187,-0.21983
-0.22433,-0.47721,0.34991,-1.8318,-0.40855,2.9184,-0.22716
-0.21779,-0.47609,0.34187,-1.8307,-0.40512,2.9179,-0.23441
-0.21133,-0.47494,0.33398,-1.8295,-0.40172,2.9174,-0.24157
-0.20497,-0.47379,0.32623,-1.8281,-0.39834,2.9167,-0.24865
-0.19868,-0.47262,0.31861,-1.8266,-0.39497,2.9159,-0.25567
-0.19248,-0.47144,0.31112,-1.825,-0.39162,2.9151,-0.26262
-0.18635,-0.47026,0.30375,-1.8233,-0.38827,2.9141,-0.26951
-0.1803,-0.46907,0.29649,-1.8214,-0.38493,2.9131,-0.27634
-0.17431,-0.46789,0.28933,-1.8195,-0.38159,2.912,-0.28313
-0.16839,-0.4667,0.28226,-1.8174,-0.37824,2.9109,-0.28988
-0.16253,-0.46551,0.27529,-1.8153,-0.37489,2.9096,-0.29659
-0.15673,-0.46433,0.26839,-1.8131,-0.37153,2.9084,-0.30328
